symbol,instrument_name,asset_class,sector,currency,exchange
AAPL,Apple Inc,Equity,Technology,USD,NASDAQ
MSFT,Microsoft Corp,Equity,Technology,USD,NASDAQ
JPM,JPMorgan Chase,Equity,Financials,USD,NYSE
GS,Goldman Sachs Group,Equity,Financials,USD,NYSE
TSLA,Tesla Inc,Equity,Consumer Discretionary,USD,NASDAQ
NVDA,NVIDIA Corp,Equity,Technology,USD,NASDAQ
AMZN,Amazon.com Inc,Equity,Consumer Discretionary,USD,NASDAQ
GOOGL,Alphabet Inc,Equity,Communication Services,USD,NASDAQ
SPY,SPDR S&P 500 ETF,ETF,Broad Market,USD,NYSE
TLT,iShares 20+ Year Treasury Bond ETF,Bond ETF,Fixed Income,USD,NASDAQ
